Name,Date,points,Weight,Body Weight
Zachary Sprenkle,03/02/2019,102.73,870 kg,115.8 kg
Matt Cronin,10/16/2019,102.71,740 kg,82.6 kg
Danny Stachelek,10/02/2021,102.69,765 kg,88.3 kg
Yangsu Ren,10/10/2017,102.69,737.5 kg,82 kg
Scott Sullivan,10/11/2018,102.69,697.5 kg,73.6 kg
Evan Orlandi,03/26/2022,102.65,800 kg,96.8 kg
Christopher Roberts,06/03/2023,102.65,762.5 kg,87.8 kg
Zachary Ryan,10/22/2022,102.64,660 kg,66.3 kg
Matthew Mora,09/24/2022,102.62,700 kg,74.2 kg
Josenico Blanco,02/25/2023,102.62,762.5 kg,87.8 kg
Jackie Vong,04/13/2023,102.62,697.5 kg,73.7 kg
Aidan Roeder,10/10/2020,102.60,740.5 kg,82.9 kg
Marcellus Williams,06/03/2023,102.59,700 kg,74.3 kg
Tevin Jones,02/26/2022,102.58,842.5 kg,108.2 kg
Rob Escalante,07/23/2022,102.56,735 kg,81.7 kg
Logan Goo,11/20/2022,102.55,700 kg,74.3 kg
Matthew Arremony,10/11/2018,102.54,652.5 kg,65 kg
Carter Welch,04/13/2023,102.53,842.5 kg,108.3 kg
Tyler Petrow,02/11/2023,102.53,732.5 kg,81.2 kg
Richard Andre,05/20/2023,102.50,905 kg,127.5 kg
Steven Coburn,10/15/2022,102.50,735 kg,81.8 kg
Aliki Hui,05/27/2023,102.50,692.5 kg,72.9 kg
Jeffrey Leung,04/29/2023,102.49,702.5 kg,74.9 kg
Dalvin Sharpe,06/17/2023,102.47,757.5 kg,86.9 kg
Mikay Ye,06/08/2022,102.46,662.5 kg,67 kg
Jhonson Solano,03/06/2022,102.46,735 kg,81.9 kg
Vincent Victorero,05/13/2023,102.45,770 kg,89.9 kg
Wesley Cheng,02/12/2022,102.44,765 kg,88.7 kg
Quentin Nunez,06/08/2022,102.44,805 kg,98.5 kg
JAISYN Mike,01/14/2018,102.42,935 kg,138.3 kg
Braxton Davis,06/25/2022,102.40,750 kg,85.3 kg
Ragan Henderson,01/07/2023,102.40,872.5 kg,117.4 kg
Kylle Edwards,03/21/2021,102.39,802.5 kg,97.9 kg
Benjamin Rice,10/13/2016,102.37,782.5 kg,93 kg
Joshua Villa,12/05/2020,102.36,737.5 kg,82.6 kg
Chris Yip,03/12/2023,102.27,700 kg,74.7 kg
Kyle Miller,08/24/2019,102.20,775 kg,91.5 kg
Kevin Garrette,03/26/2022,102.16,690 kg,72.8 kg
Nicholas Lombardi,10/15/2022,102.15,765 kg,89.2 kg
Dedreck Rucker,06/14/2021,102.14,822.5 kg,103.7 kg
Sayo Oyenuga,05/20/2023,102.12,787.5 kg,94.7 kg
Abraham Ramirez,02/27/2021,102.03,722.5 kg,79.8 kg
Rj Hizon,03/03/2018,102.03,695 kg,74 kg
Michael Black,03/03/2018,102.00,692.5 kg,73.5 kg
Johnathan Santana,12/16/2017,101.99,730 kg,81.5 kg
Ryan J Stills,10/11/2018,101.98,872.5 kg,118.5 kg
Edwin McQuiston,09/24/2022,101.92,820 kg,103.5 kg
Matthias Cash,05/06/2023,101.90,697.5 kg,74.7 kg
Nick Weite,11/11/2017,101.89,915 kg,132.8 kg
Noah Forman,02/11/2023,101.87,690 kg,73.2 kg
Adrian Kim,12/10/2022,101.80,690 kg,73.3 kg
Jacob Lynch,01/18/2020,101.79,685 kg,72.3 kg
Josue Paredes,06/03/2023,101.77,692.5 kg,73.9 kg
Layne Norton,11/16/2014,101.76,770 kg,91.1 kg
William Waller,05/29/2022,101.75,750 kg,86.4 kg
Weiss ,12/06/2014,101.75,810 kg,101.2 kg
Matthew Weisberg,02/02/2019,101.75,773.5 kg,92 kg
Michael Astrologo,06/08/2022,101.73,926 kg,137.3 kg
Vince Bualoy,08/13/2022,101.72,840 kg,109.5 kg
Alex Lau,06/08/2022,101.72,730 kg,81.9 kg
Vincent Wilson,12/12/2020,101.69,820 kg,104 kg
Jure Rus,03/03/2018,101.67,730 kg,82 kg
Connor Jupin,05/20/2023,101.65,762.5 kg,89.5 kg
Jeremy Johnson,11/19/2022,101.65,800 kg,98.8 kg
Sean Sullivan,05/13/2023,101.64,700 kg,75.6 kg
Tyler Drahem,09/24/2022,101.62,797.5 kg,98.2 kg
Gary House,11/21/2020,101.61,857.5 kg,114.9 kg
Danny Sullivan,04/01/2017,101.60,775 kg,92.6 kg
Javarryon Fort,01/14/2023,101.58,727.5 kg,81.6 kg
William Lai,01/21/2023,101.58,687.5 kg,73.1 kg
John Downing,06/03/2017,101.58,727.5 kg,81.6 kg
Brandon Payne,04/12/2019,101.57,817.5 kg,103.6 kg
Allen ,12/06/2014,101.57,790 kg,96.4 kg
Michael Ayles,10/15/2022,101.55,797.5 kg,98.4 kg
Seyoon Rhee,08/13/2016,101.55,730 kg,82.2 kg
Jeff Docena,06/11/2023,101.54,760 kg,89.1 kg
Connor Sult,06/03/2023,101.54,780 kg,94 kg
Nehemiah Owusu,06/14/2021,101.53,732.5 kg,82.8 kg
Andrew Jones,10/11/2018,101.50,800 kg,99.1 kg
Cole Warren,10/16/2019,101.49,815 kg,103.1 kg
Ronnie Cormier,09/25/2022,101.49,730 kg,82.3 kg
Alejandro Wickham,04/22/2023,101.45,907.5 kg,131.6 kg
Terel Monroe,02/05/2023,101.44,645 kg,64.9 kg
zachary harris,05/13/2023,101.44,837.5 kg,109.5 kg
Noah Urbanski,11/05/2022,101.43,757.5 kg,88.7 kg
Nick Tylutki,03/04/2017,101.40,820 kg,104.7 kg
Alex Tertitski,07/19/2013,101.40,732.5 kg,83 kg
Brenan Lasala,05/13/2023,101.37,832.5 kg,108.2 kg
Adam Norris,12/13/2014,101.34,725.7 kg,81.6 kg
Alexander Olarte,04/08/2021,101.33,772.5 kg,92.5 kg
Cody Carpentier,11/21/2020,101.30,865 kg,118 kg
Tony Nguyen,09/24/2022,101.30,690 kg,74 kg
Ross Leppala,03/01/2019,101.29,730 kg,82.6 kg
Jhamal Williams,12/03/2022,101.28,800 kg,99.6 kg
Noah Johnson,06/14/2021,101.27,923 kg,91 kg
Owen Tomaszewski,12/12/2015,101.26,795 kg,98.3 kg
Dustin Limerick,03/23/2022,101.26,831 kg,108 kg
Hung Phan,12/03/2022,101.21,830 kg,107.9 kg
Andrew Richard,12/12/2020,101.20,727.5 kg,82.2 kg
David Waters,11/05/2022,101.17,747.5 kg,86.8 kg
Kenneth Campbell,11/06/2021,101.17,727.5 kg,82.3 kg
Romar Paul Harayo,04/08/2021,101.16,817.5 kg,104.5 kg
Scott Dobbins,06/14/2021,101.16,1044 kg,119.2 kg
Payton Ireland,06/01/2019,101.12,747.5 kg,86.9 kg
Donavin Spears,03/23/2022,101.09,727.5 kg,82.4 kg
Hunter Reaux,10/15/2022,101.09,757.5 kg,89.3 kg
Bryce Martin,11/19/2022,101.08,777.5 kg,94.2 kg
Jeffrey Thompson,11/13/2021,101.04,687.5 kg,73.9 kg
Jason Cambra,03/26/2022,101.04,750 kg,87.6 kg
James Peavey,02/26/2022,101.01,727.5 kg,82.5 kg
Cody Giampa,01/18/2020,100.99,1045 kg,120 kg
Christopher Greene,06/08/2022,100.93,795 kg,99 kg
William Dunn,03/25/2023,100.93,687.5 kg,74 kg
Arthur French,04/08/2021,100.93,817.5 kg,105 kg
Shane Harrington,06/12/2021,100.91,722.5 kg,81.6 kg
Benjamin Winder,05/28/2023,100.88,722.5 kg,81.6 kg
Austin Baraki,10/11/2018,100.87,762.5 kg,90.9 kg
Lam Viet Khanh Tran Ho,10/16/2019,100.86,755 kg,89.1 kg
Dawson Windham,08/06/2019,100.85,800 kg,100.5 kg
Stuart Feng,06/03/2023,100.85,725 kg,82.2 kg
Patrick Klaus,10/15/2022,100.84,757.5 kg,89.8 kg
Darryl Webster,02/19/2022,100.82,755 kg,89.2 kg
Tonggyu Kim,10/08/2022,100.81,690 kg,74.7 kg
Ricardo Gracias,10/19/2019,100.79,770 kg,92.9 kg
Evan Ross,04/13/2023,100.76,750 kg,88.1 kg
Joey Correia,06/08/2022,100.76,645 kg,65.7 kg
Bradley Robinson,04/15/2023,100.74,750 kg,88.2 kg
Sawyer Klatt,03/30/2022,100.74,792.5 kg,98.7 kg
Chad Odsey,09/10/2022,100.74,690 kg,74.8 kg
Corey Dennis,05/20/2023,100.72,792.5 kg,98.8 kg
Nathan Tansey,04/13/2023,100.72,687.5 kg,74.3 kg
Brian Brickey,10/22/2022,100.71,817.5 kg,105.5 kg
Jonathan Peebles,03/21/2015,100.71,727.5 kg,83 kg
Collin Whitney,03/01/2019,100.71,810 kg,103.4 kg
Peter Cherry,11/05/2022,100.71,802.5 kg,101.4 kg
Carlos lucio,08/20/2022,100.70,737.5 kg,85.3 kg
Luke Deuser,04/23/2023,100.70,775 kg,94.3 kg
Jorge Rosado,07/15/2018,100.70,757.5 kg,90 kg
Jonathan White,04/14/2018,100.69,875 kg,122.9 kg
Michael Escano,12/05/2020,100.67,675 kg,71.8 kg
William Raymond LeBlanc,07/11/2015,100.66,813.5 kg,104.5 kg
James Miller,07/21/2018,100.64,685 kg,73.9 kg
Zanoah Arnold,04/08/2021,100.63,722.5 kg,82 kg
Ragheb Abu-rubieh,04/13/2023,100.63,722.5 kg,82 kg
Zachary Mcgillis,03/26/2022,100.60,677.5 kg,72.4 kg
Bryan Rodriguez Gomez,02/26/2022,100.58,687.5 kg,74.5 kg
Caleb Calaway,08/13/2022,100.57,722.5 kg,82.1 kg
Michael Crehan,03/30/2023,100.56,720 kg,81.6 kg
Sam Bernstein,07/23/2016,100.54,752.5 kg,89.1 kg
Christopher Austin,05/21/2022,100.50,792.5 kg,99.2 kg
Charlie Conner,07/24/2017,100.48,975 kg,103.2 kg
Lamarvin Hunley,01/19/2019,100.48,755 kg,89.8 kg
Alexis Maher,06/14/2021,100.45,808.5 kg,73.7 kg
Aitor Lapena-Gutierrez,03/04/2022,100.45,820 kg,106.8 kg
Tanner Underberg,01/21/2023,100.40,715 kg,80.7 kg
Connor Heim,03/30/2022,100.39,722.5 kg,82.4 kg
Philip Truong,03/30/2022,100.38,720 kg,81.8 kg
Jacob Hernandez,06/03/2023,100.37,647.5 kg,66.7 kg
Andrew Ha,06/08/2022,100.37,682.5 kg,73.8 kg
kevin cando,06/08/2022,100.36,682.5 kg,73.8 kg
John Vasquez,10/16/2021,100.34,860 kg,119 kg
shane connell,04/22/2023,100.34,752.5 kg,89.5 kg
Justin Ellis,06/08/2022,100.32,685 kg,74.4 kg
Matthew Octaviano,06/03/2023,100.31,800 kg,101.6 kg
Jesse Burttschell,05/10/2019,100.31,1035 kg,119.1 kg
Jared Naquin,06/08/2022,100.31,862.5 kg,82 kg
Devraj Roy,06/08/2022,100.29,747.5 kg,88.3 kg
Tyler Marcel,10/16/2019,100.28,642.5 kg,65.9 kg
